Code,Description,Airline_Name,Airline_Initial
19124,Bankair Inc.: BAK,Bankair Inc.,BAK
19125,Bard-Air Corp.: BAR,Bard-Air Corp.,BAR
19126,Baja Cortez Airlines: BCA,Baja Cortez Airlines,BCA
19127,Bennington Aviation Inc.: BEN,Bennington Aviation Inc.,BEN
19128,Beyer Aviation: BEY,Beyer Aviation,BEY
19129,Blackhawk Airways Inc.: BHK,Blackhawk Airways Inc.,BHK
19130,Bighorn Airways Inc.: BHO,Bighorn Airways Inc.,BHO
19131,Birchwood Air Service: BIR,Birchwood Air Service,BIR
19132,Bremerton Aviation Inc.: BMT,Bremerton Aviation Inc.,BMT
19133,Boise Air Service: BOA,Boise Air Service,BOA
19134,Brower Airways Inc.: BRO,Brower Airways Inc.,BRO
19135,Burlington Airways Inc.: BUR,Burlington Airways Inc.,BUR
19136,Coleman Air Transport: CAC,Coleman Air Transport,CAC
19137,Crawford Aviation Inc.: CAI,Crawford Aviation Inc.,CAI
19138,C & M Airlines: CAM,C & M Airlines,CAM
19139,Metro Air Northeast N Y: CAP,Metro Air Northeast N Y,CAP
19140,Catalina Airlines Inc.: CAT,Catalina Airlines Inc.,CAT
19141,Air Virginia: CAV,Air Virginia,CAV
19142,Carriba Air Inc.: CBA,Carriba Air Inc.,CBA
19143,Cen-Tex Airlines Inc.: CEN,Cen-Tex Airlines Inc.,CEN
19144,Century Airlines (Cal): CET,Century Airlines (Cal),CET
19145,Chandler Flyer: CHD,Chandler Flyer,CHD
19146,Charter Airlines: CHE,Charter Airlines,CHE
19147,Hammonds Commuter Air Serv.: CHF,Hammonds Commuter Air Serv.,CHF
19148,Choi Aviation Inc.: CHO,Choi Aviation Inc.,CHO
19149,Christman Air System: CHS,Christman Air System,CHS
19150,Cal Sierra Airlines: CIS,Cal Sierra Airlines,CIS
19151,Centennial Airlines: CNN,Centennial Airlines,CNN
19152,Cotton Belt Aviation Inc.: COB,Cotton Belt Aviation Inc.,COB
19153,Coker Aviation Inc.: COK,Coker Aviation Inc.,COK
19154,Commutair: COM,Commutair,COM
19155,Coral Air Inc.: COR,Coral Air Inc.,COR
19156,Cosmopolitan Comm. Airline: COS,Cosmopolitan Comm. Airline,COS
19157,Southeastern Commuter: COT,Southeastern Commuter,COT
19158,Courtesy Air Service Inc.: COU,Courtesy Air Service Inc.,COU
19159,Capitol Air Lines: CPA,Capitol Air Lines,CPA
19160,Coastal Plains Commuter Inc.: CPC,Coastal Plains Commuter Inc.,CPC
19161,Commuter Airlines: CRA,Commuter Airlines,CRA
19162,Crown Aviaiton Inc.: CRN,Crown Aviaiton Inc.,CRN
19163,Crown Airways Inc.: CRO,Crown Airways Inc.,CRO
19164,Crested Butte Air Service: CRT,Crested Butte Air Service,CRT
19165,Catskill Airways Inc.: CSK,Catskill Airways Inc.,CSK
19166,Century Airlines: CTA,Century Airlines,CTA
19167,Cothron Aviation: CTH,Cothron Aviation,CTH
19168,Catalina-Vegas Airlines: CVA,Catalina-Vegas Airlines,CVA
19169,Danbury Airlines: DAN,Danbury Airlines,DAN
